date,tic,open,high,low,close,volume,macd,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2020-01-02,AAPL,71.4752,72.5284,71.2211,140550194.0,72.4683,0.0,100.0,66.6666666666668,100.0,140550194.0,140550194.0
2020-01-02,GOOG,67.0775,68.407,67.0775,28134620.0,68.3685,0.0,100.0,66.6666666666668,100.0,28134620.0,28134620.0
2020-01-02,MSFT,151.872,153.708,151.441,23664284.89059,153.613,0.0,100.0,66.6666666666668,100.0,23664284.89059,23664284.89059
2020-01-03,AAPL,71.6974,72.5245,71.5393,151831779.0,71.7661,253112.48397436738,100.0,66.6666666666668,100.0,146190986.5,146190986.5
2020-01-03,GOOG,67.393,68.625,67.277,23740120.0,68.033,-98594.55128204823,0.0,-66.66666666666666,100.0,25937370.0,25937370.0
2020-01-03,MSFT,151.432,153.006,151.179,22082592.467102,151.726,-35486.688988514245,0.0,-66.66666666666679,100.0,22873438.678846,22873438.678846
2020-01-06,AAPL,70.8823,72.3732,70.6367,122864387.0,72.3337,-575761.5485255718,27.35072080763912,-100.00000000000007,100.0,138415453.33333334,138415453.33333334
2020-01-06,GOOG,67.5,69.825,67.5,34662980.0,69.7105,213088.20695755258,71.99887152203685,99.99999999999991,100.0,28845906.666666668,28845906.666666668
2020-01-06,MSFT,150.224,152.185,149.685,21774192.872396,152.118,-54780.53839021921,0.0,-63.32462619629107,100.0,22507023.410029333,22507023.410029333
2020-01-07,AAPL,72.3435,72.6019,71.7779,115540977.0,71.997,-1203048.1823967546,22.983757443261567,-84.75699309584765,57.37454569503695,132696834.25,132696834.25
2020-01-07,GOOG,69.897,70.1495,69.519,30233860.0,69.667,189713.69393793494,55.29799069131198,21.316933014589832,100.0,29192895.0,29192895.0
2020-01-07,MSFT,152.399,152.742,150.455,22877229.877118,150.71,-22388.4964815937,38.31106592263878,27.57861627462209,48.99026790075009,22599575.0268015,22599575.0268015
2020-01-08,AAPL,71.6992,73.4545,71.6974,137147834.0,73.1541,-658792.5974212438,48.21803223218689,20.628902494766873,14.902346448629618,133587034.2,133587034.2
2020-01-08,GOOG,69.604,70.579,69.542,30583540.0,70.216,186932.95435889438,56.12911631777801,26.236246034604854,100.0,29471024.0,29471024.0
2020-01-08,MSFT,152.019,153.777,151.071,29025034.12679,153.142,240319.46858909726,80.77571796965562,166.6666666666665,1.1087922347481856,23884666.846799202,23884666.846799202
2020-01-09,AAPL,74.1291,74.8961,73.8818,176648091.0,74.7105,1369816.047076285,68.02873556501417,152.85451897279427,53.50097958346838,140763877.0,140763877.0
2020-01-09,GOOG,71.0285,71.3665,70.5135,30053280.0,70.9915,159073.40659990162,54.538433396286415,13.36427963372219,100.0,29568066.666666668,29568066.666666668
2020-01-09,MSFT,154.783,155.144,154.003,22373523.678093,155.028,109302.89458770305,45.62442924280058,-46.43625210465711,32.94367657444036,23632809.652014833,23632809.652014833
2020-01-10,AAPL,74.9385,75.4405,74.3747,145960553.0,74.8745,1256990.7448025346,52.03070738168797,20.819347294888807,60.69734584810163,141506259.2857143,141506259.2857143
2020-01-10,GOOG,71.378,71.7465,70.9175,36431320.0,71.4865,427402.7829851322,66.39019756152254,136.82391124668683,100.0,30548531.42857143,30548531.42857143
2020-01-10,MSFT,155.741,156.132,154.148,21677217.8497,154.304,-8145.842371124774,43.57108479899379,-65.3775558019834,46.299632547108935,23353439.394541286,23353439.394541286
2020-01-13,AAPL,75.1918,76.504,75.0709,126499505.0,76.4775,235563.4577536881,45.07644392825686,-62.00884012183273,70.2969541799328,139630415.0,139630415.0
2020-01-13,GOOG,71.8065,72.026,71.301,33069640.0,71.9615,440572.941310063,58.1276535767065,50.830639871710325,100.0,30863670.0,30863670.0
2020-01-13,MSFT,154.715,156.219,154.225,22621363.410815,156.19,-41864.46962471679,46.92183785037577,-27.70542125767398,47.287893455783845,23261929.8965755,23261929.8965755
2020-01-14,AAPL,76.4137,76.6228,75.3214,168491215.0,75.4434,1608021.654083252,57.69710472928732,107.51461734927251,71.1387173210683,142837170.55555555,142837170.55555555
2020-01-14,GOOG,71.9505,72.09,71.4185,31209060.0,71.544,350679.37666074187,54.26118626996451,7.8288537250787735,100.0,30902046.666666668,30902046.666666668
2020-01-14,MSFT,156.286,156.494,154.675,24569929.773612,155.068,32098.470915816724,52.893815229433585,49.56352118134943,50.37379831848896,23407263.21624622,23407263.21624622
2020-01-15,AAPL,75.2429,76.1239,74.6919,126330240.0,75.1183,386527.61942499876,46.57996743931793,-63.33736087024946,47.467141422261136,141186477.5,141186477.5
2020-01-15,GOOG,71.5105,72.07,71.5105,25653700.0,71.96,-4343.642684791237,45.01299900760964,-111.90111057351118,100.0,30377212.0,30377212.0
2020-01-15,MSFT,155.545,156.825,155.497,22392257.500931,156.093,-28071.670102011412,46.8054675883332,-41.47394124905396,53.84998434153092,23305762.644714702,23305762.644714702
2020-01-16,AAPL,75.6643,76.17,75.3019,112762447.0,76.06,-1224396.0122741163,43.77221208929234,-104.72788985098323,48.029873355608075,138602474.72727272,138602474.72727272
2020-01-16,GOOG,72.372,72.5995,72.046,23473760.0,72.585,-376965.54361832887,42.100221568913234,-127.86787142725208,100.0,29749625.454545453,29749625.454545453
2020-01-16,MSFT,157.196,159.003,156.915,24951093.141563,158.934,65165.544397614896,53.334694848815424,65.37689363811172,69.08292969182402,23455338.144428182,23455338.144428182
2020-01-17,AAPL,76.3084,76.9056,76.0031,142797603.0,76.9037,-738926.8625585437,50.592419875490386,16.617317119502694,56.058634955453826,138952068.75,138952068.75
2020-01-17,GOOG,73.1455,74.065,72.911,47924300.0,74.0195,698066.9432602227,66.92993062412418,246.52886580769018,100.0,31264181.666666668,31264181.666666668
2020-01-17,MSFT,160.136,160.184,158.222,35935365.780703,159.833,736012.4830036983,69.7971568702114,277.3329047936382,74.04812647598474,24495340.447451085,24495340.447451085
2020-01-21,AAPL,76.5334,76.9725,76.2427,114849494.0,76.3821,-1947825.1524704844,45.30287653338373,-92.93354738602305,56.70882785925237,137098024.53846154,137098024.53846154
2020-01-21,GOOG,73.956,74.5925,73.56,40735600.0,74.22,1080003.5018776804,59.20745912165364,115.29397289197165,100.0,31992752.307692308,31992752.307692308
2020-01-21,MSFT,159.432,160.867,159.189,30860048.828704,159.257,937071.8690291345,59.72600263689829,122.01327445973246,76.39198849698849,24984933.399855155,24984933.399855155
2020-01-22,AAPL,76.8664,77.2082,76.562,105513011.0,76.6543,-3368510.2504690886,43.72309243599537,-114.50200736814557,58.99397173230144,134841952.14285713,134841952.14285713
2020-01-22,GOOG,74.55,75.1605,74.2465,32216920.0,74.2975,858151.0381244458,51.87071496183392,2.9447702542742036,100.0,32008764.285714287,32008764.285714287
2020-01-22,MSFT,160.117,160.204,158.456,25236949.286439,158.476,749503.5716469139,51.250332244430005,5.1892234372829895,59.831516419998145,25002934.534611143,25002934.534611143
2020-01-23,AAPL,76.7063,77.1033,76.1583,108247925.0,77.0225,-4234647.041611418,44.31155745500821,-94.05907509887534,44.98223828884667,133069017.0,133069017.0
2020-01-23,GOOG,74.382,74.776,74.105,27027080.0,74.3325,371918.2666602023,48.11323694257502,-66.45871467870624,93.87418368193097,31676652.0,31676652.0
2020-01-23,MSFT,158.953,159.55,158.066,20576125.075471,159.471,321905.102693405,45.6906707237032,-91.94001179817788,51.729586909446226,24707813.9040018,24707813.9040018
2020-01-24,AAPL,77.2721,78.0116,76.6098,151833857.0,76.8008,-2195169.003589362,52.50013910672846,66.38824575673391,54.60415464168042,134241819.5,134241819.5
2020-01-24,GOOG,74.6795,74.775,73.2625,35692880.0,73.3355,523871.1422452219,53.88365222846614,53.92366136633349,62.245336503090506,31927666.25,31927666.25
2020-01-24,MSFT,160.224,160.244,157.293,26051743.626392,157.84,325494.48468983173,52.01675536342896,28.828199498853156,37.01424537095092,24791809.511651188,24791809.511651188
2020-01-27,AAPL,74.8087,75.2232,73.5604,167793055.0,74.5445,375086.9851731658,55.006159818434355,113.89077084195367,5.013030674526621,136215421.5882353,136215421.5882353
2020-01-27,GOOG,71.55,71.9035,71.06,35104020.0,71.695,596813.8569307514,53.46567540731686,43.52482225632274,11.439609865308785,32114510.588235293,32114510.588235293
2020-01-27,MSFT,154.121,156.276,153.239,33537429.290891,155.213,787440.8289279602,58.80324546414986,161.5165001346225,11.243583340204138,25306257.73395941,25306257.73395941
2020-01-28,AAPL,75.4237,76.8229,75.3253,168097602.0,76.6523,2358084.553645909,55.05297210095756,104.96248999704191,13.657715953408161,137986653.83333334,137986653.83333334
2020-01-28,GOOG,72.15,72.8,71.6235,31548440.0,72.628,421170.7375261411,50.994844078730715,-8.188577290999374,22.059105766425127,32083062.222222224,32083062.222222224
